W twotail,p twotail,rank biserial effectsize,me,mae,xname,yname,workload name,significance,effectsize word,direction
0.0,2.6651409486700556e-18,-0.9231447897264974,-1818624164.9044228,1818624164.9044228,area_a,area_b,int32,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.9047152239976473,-1790202556.127662,1790202556.127662,area_a,area_b,int64,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.9066758160964611,-1767334621.0212436,1767334621.0212436,area_a,area_b,int128,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.904519164787766,-1749289712.0857852,1749289712.0857852,area_a,area_b,fp32,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.9047152239976473,-1734511307.225592,1734511307.225592,area_a,area_b,fp64,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.9051073424174101,-2156400565.531856,2156400565.531856,area_a,area_b,MMX,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.9109891187138516,-2159616930.7440753,2159616930.7440753,area_a,area_b,SSE,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.8909910793059503,-2169636478.0293245,2169636478.0293245,area_a,area_b,SSE2,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.904519164787766,-2104392863.7735167,2104392863.7735167,area_a,area_b,AVX,p < 0.001,Large,X is smaller
0.0,2.6651409486700556e-18,-0.868836388589354,-2079595342.1121252,2079595342.1121252,area_a,area_b,AVX2,p < 0.001,Large,X is smaller
