W,p value,effectsize,me,mae
2.2649812e+07,0.0,-0.99999964,9.935491,9.93553
2.2515394e+07,0.0,-0.99999917,9.63895,9.639459
2.248856e+07,0.0,-0.9999989,9.529662,9.530251
1.9572508e+07,0.0,-0.7360002,9.3959,14.108435
2.252109e+07,0.0,-0.9993131,9.234662,9.247957
2.2394776e+07,0.0,-0.9999999,13.184286,13.184462
2.2609332e+07,0.0,-0.9988005,13.167576,13.191011
2.2441648e+07,0.0,-0.9999999,13.411701,13.411801
2.1894592e+07,0.0,-0.9442749,12.651976,14.043685
2.0268056e+07,0.0,-0.8100698,12.558041,17.460554
