W twotail,p twotail,rank biserial effectsize,me,mae,xname,yname,workload name,significance,effectsize word,direction
8.0,6.433342159469221e-68,-0.6609646113126164,-1180371319.3606467,1180477111.686636,area_a,area_b,fp64,p < 0.001,Large,X is smaller
0.0,6.061596090070382e-68,-0.8335457308107048,-2478123484.3468485,2478123484.3468485,area_a,area_b,int128,p < 0.001,Large,X is smaller
2.0,6.152475302792848e-68,-0.8312665424958338,-2189273198.4526978,2189305761.6704807,area_a,area_b,int32,p < 0.001,Large,X is smaller
2.0,6.152475302792848e-68,-0.8358126654249584,-2273882466.609669,2273921072.3152103,area_a,area_b,int64,p < 0.001,Large,X is smaller
1.0,6.10686719845936e-68,-0.8340971473384962,-1643688515.2713184,1643693703.6330168,area_a,area_b,AVX2,p < 0.001,Large,X is smaller
0.0,6.061596090070382e-68,-0.81976031761592,-1284867310.670525,1284867310.670525,area_a,area_b,fp32,p < 0.001,Large,X is smaller
3.0,6.1984229033217095e-68,-0.8131065581805705,-1634887784.2687163,1634948380.0694704,area_a,area_b,SSE2,p < 0.001,Large,X is smaller
0.0,6.061596090070382e-68,-0.8108273698656995,-1500347117.4508758,1500347117.4508758,area_a,area_b,SSE,p < 0.001,Large,X is smaller
2.0,6.152475302792848e-68,-0.806575335751397,-1314560842.9124503,1314591453.8561592,area_a,area_b,MMX,p < 0.001,Large,X is smaller
0.0,6.061596090070382e-68,-0.8099328497206156,-1684581750.2518594,1684581750.2518594,area_a,area_b,AVX,p < 0.001,Large,X is smaller
