W twotail,p twotail,rank biserial effectsize,me,mae,xname,yname,workload name,significance,effectsize word,direction
300749875.5,1.4619615228584988e-120,-0.3523312260665309,8.748078628926528,53.43819017426603,cpu_total,power,fp64,p < 0.001,Medium,X is smaller
298702475.5,4.627568043597516e-130,-0.3332522191218784,21.438317943371956,70.7830480493665,cpu_total,power,int128,p < 0.001,Medium,X is smaller
300292110.0,5.59362729016915e-122,-0.3247520838808844,18.639426457645282,70.25690074178493,cpu_total,power,int32,p < 0.001,Medium,X is smaller
299980029.0,9.007329477012906e-123,-0.31551781613674723,19.484055793321417,70.60645093328068,cpu_total,power,int64,p < 0.001,Medium,X is smaller
300677315.0,1.5543370191367873e-119,-0.33635653916963404,13.370572471123582,60.575568549866716,cpu_total,power,AVX2,p < 0.001,Medium,X is smaller
299956239.5,7.136641343797325e-125,-0.3444387373426281,9.735696850904882,54.33807257268523,cpu_total,power,fp32,p < 0.001,Medium,X is smaller
301535587.0,8.996418493730135e-115,-0.32057842587691376,13.46794872407985,62.3253763036159,cpu_total,power,SSE2,p < 0.001,Medium,X is smaller
297383239.0,8.474568370645711e-136,-0.3317247724621797,11.703952792241573,58.484357090558824,cpu_total,power,SSE,p < 0.001,Medium,X is smaller
297017281.0,1.1476552879857755e-136,-0.3368779952688309,10.039213248832997,55.876298241804726,cpu_total,power,MMX,p < 0.001,Medium,X is smaller
297696327.5,2.5135024510678684e-133,-0.3282351128311729,13.709442711570826,63.083948360073265,cpu_total,power,AVX,p < 0.001,Medium,X is smaller
