,int32,int64,int128,fp32,fp64,MMX,SSE,SSE2,AVX,AVX2
int32,1.0,0.00237220784196041,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
int64,0.00237220784196041,1.0,1.0,0.06096612411111117,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
int128,p < 0.001,1.0,1.0,1.0,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
fp32,p < 0.001,0.06096612411111117,1.0,1.0,0.22277743801554065,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
fp64,p < 0.001,1.0,1.0,0.22277743801554065,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
MMX,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,1.0,1.0,0.22512611679942163,0.06137600690428535
SSE,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,1.0,1.0,1.0,1.0
SSE2,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,1.0,1.0,0.023491308148680376,0.005008883038288718
AVX,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,0.22512611679942163,1.0,0.023491308148680376,1.0,1.0
AVX2,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,0.06137600690428535,1.0,0.005008883038288718,1.0,1.0
