group,overall_rank,median,mean,orderPositiveCorrelation,workloadname
0,454.6039603960396,-0.2778964407369431,-0.28581324020732213,4,int32
1,288.63366336633663,-0.2873843851702279,-0.29676894837405204,3,int64
2,224.98019801980197,-0.28937022448156174,-0.2990927334114878,1,int128
3,157.1089108910891,-0.2921181420025795,-0.30246696195943706,0,fp32
4,272.46534653465346,-0.2876543801969858,-0.29634492125289624,2,fp64
5,784.2574257425742,-0.24889146992335898,-0.2606974416592804,8,MMX
6,739.6534653465346,-0.24974634957243602,-0.2616153352710044,7,SSE
7,811.4455445544554,-0.24779022656590136,-0.2593960402548156,9,SSE2
8,669.039603960396,-0.25176930099347505,-0.2633819819135342,6,AVX
9,652.8118811881188,-0.25204513565158226,-0.276561982235521,5,AVX2
