,fp64,int128,int32,int64,AVX2,fp32,SSE2,SSE,MMX,AVX
fp64,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,0.003965765593649973,p < 0.001,p < 0.001,0.05143889489114638,p < 0.001
int128,p < 0.001,1.0,p < 0.001,0.00237045272304298,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
int32,p < 0.001,p < 0.001,1.0,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
int64,p < 0.001,0.00237045272304298,1.0,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
AVX2,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,0.26312446048610943,p < 0.001,p < 0.001,1.0
fp32,0.003965765593649973,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,p < 0.001,1.0,p < 0.001
SSE2,p < 0.001,p < 0.001,p < 0.001,p < 0.001,0.26312446048610943,p < 0.001,1.0,0.051778415310916925,p < 0.001,1.0
SSE,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,0.051778415310916925,1.0,p < 0.001,0.008104855393480614
MMX,0.05143889489114638,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,p < 0.001,1.0,p < 0.001
AVX,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,1.0,0.008104855393480614,p < 0.001,1.0
