group,overall_rank,median,mean,orderPositiveCorrelation,workloadname
0,3259.7945544554455,-0.09851819800592257,-0.09387625996797198,9,fp64
1,653.6930693069307,-0.13608064476580478,-0.12936531843958107,0,int128
2,1085.259900990099,-0.1283835646325832,-0.12120140467110664,2,int32
3,985.5247524752475,-0.1305464560315288,-0.12277784242206255,1,int64
4,1846.2722772277227,-0.11609630036227364,-0.11033388798575981,3,AVX2
5,2937.9975247524753,-0.1041305263639187,-0.09956339006019435,7,fp32
6,2072.4678217821784,-0.1139583139236675,-0.10816051974954224,5,SSE2
7,2339.2549504950493,-0.11092177255704842,-0.10585601516669933,6,SSE
8,2992.8539603960394,-0.10348641928298227,-0.09860182792943248,8,MMX
9,2031.881188118812,-0.11449869673470682,-0.10819402148639949,4,AVX
