,fp64,int128,int32,int64,AVX2,fp32,SSE2,SSE,MMX,AVX
fp64,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,p < 0.001,1.0,p < 0.001
int128,p < 0.001,1.0,0.4911849842514643,0.4644443822876741,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
int32,p < 0.001,0.4911849842514643,1.0,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
int64,p < 0.001,0.4644443822876741,1.0,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001,p < 0.001
AVX2,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,1.0,1.0,p < 0.001,0.6362041948140538
fp32,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,p < 0.001,1.0,0.014418608161921446
SSE2,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,1.0,1.0,p < 0.001,1.0
SSE,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,1.0,1.0,p < 0.001,1.0
MMX,1.0,p < 0.001,p < 0.001,p < 0.001,p < 0.001,1.0,p < 0.001,p < 0.001,1.0,0.03901063932855031
AVX,p < 0.001,p < 0.001,p < 0.001,p < 0.001,0.6362041948140538,0.014418608161921446,1.0,1.0,0.03901063932855031,1.0
