group,overall_rank,median,mean,orderPositiveCorrelation,workloadname,,Note
0,2621.195545,-0.096343615,-0.091545526,9,fp64,,We can report Mean as percentage underestimated
1,1314.673267,-0.133264176,-0.128946209,0,int128,,Like Alt etal 2024
2,1523.566832,-0.128157703,-0.122706478,1,int32,,
3,1525.165842,-0.12772604,-0.122509112,2,int64,,
4,1983.631188,-0.113430229,-0.109601138,3,AVX2,,
5,2480.29703,-0.099487678,-0.096321104,7,fp32,,
6,2023.851485,-0.110702263,-0.108718929,4,SSE2,,
7,2089.289604,-0.110442622,-0.107155472,5,SSE,,
8,2458.326733,-0.098786405,-0.097386355,8,MMX,,
9,2185.002475,-0.107850134,-0.104085883,6,AVX,,
