"Ranking","GroupName","Mean","ConfidenceInterval","CliffsDelta_Global"
1,"fp64ArrowLake",-0.08578,"[-0.0917, -0.0799]","0.8736 (large)"
2,"MMXArrowLake",-0.0997,"[-0.1034, -0.0960]","0.7358 (large)"
2,"fp32ArrowLake",-0.09987,"[-0.1043, -0.0955]","0.7173 (large)"
3,"SSEArrowLake",-0.10642,"[-0.1102, -0.1027]","0.6007 (large)"
3,"AVXArrowLake",-0.10833,"[-0.1130, -0.1037]","0.5195 (large)"
4,"SSE2ArrowLake",-0.11038,"[-0.1157, -0.1051]","0.4585 (medium)"
4,"AVX2ArrowLake",-0.11355,"[-0.1183, -0.1088]","0.4281 (medium)"
5,"int32ArrowLake",-0.12116,"[-0.1265, -0.1158]","0.2552 (small)"
5,"int64ArrowLake",-0.12344,"[-0.1289, -0.1180]","0.2225 (small)"
5,"int128ArrowLake",-0.1255,"[-0.1307, -0.1203]","0.1889 (small)"
6,"SSE2CoffeeLake",-0.2594,"[-0.2722, -0.2466]","-0.1971 (small)"
6,"MMXCoffeeLake",-0.2607,"[-0.2735, -0.2478]","-0.2240 (small)"
6,"SSECoffeeLake",-0.26162,"[-0.2738, -0.2495]","-0.2682 (small)"
6,"AVXCoffeeLake",-0.26338,"[-0.2756, -0.2511]","-0.3381 (medium)"
7,"AVX2CoffeeLake",-0.27656,"[-0.2958, -0.2574]","-0.3541 (medium)"
8,"int32CoffeeLake",-0.28581,"[-0.2957, -0.2759]","-0.5504 (large)"
9,"fp64CoffeeLake",-0.29634,"[-0.3062, -0.2865]","-0.7307 (large)"
9,"int64CoffeeLake",-0.29677,"[-0.3073, -0.2862]","-0.7147 (large)"
9,"int128CoffeeLake",-0.29909,"[-0.3095, -0.2887]","-0.7777 (large)"
9,"fp32CoffeeLake",-0.30247,"[-0.3128, -0.2921]","-0.8449 (large)"
